dataset shorthand,type,Genus.ncbi,Species.ncbi,Species.name (queried GBIF),reason no map,IUCN?,to check,Range source,Range source website,Range description,Range errors,"Action (fine = no action needed; fine.unconfirmed = gbif records look good but no good info to check against; excl.points=exclude points according to code (lts, longs & gbifIDs); country.codes = use country codes as well as lats/longs/gbifIDs; remove.use.IUCN = remove from GBIF pipeline & use IUCN map; remove = unsolveable rnage errors, remove species entirely; partial.range = use only the part of the range where the thermal tolerance data come from (for sp with disjunct distributions in multiple coasts/continents) ",Action remove explanation,countries in range,country.codes,gbifIDs.to.excl,code to get gbifIDs to excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who did final code,potential good gbif range for IUCN comp,Realm,Body Mass,tmax,tmax_metric,Sex,tmax_pretreatment,Rate of change (ramping temp) C/MIN,latctmax,longctmax,elevationctmax,REF_ctmax,location_ctmax,ctmin,tmin_metric,sex,Rate of change (ramping temp) c/min,tmin_pretreatment,latctmin,longctmin,elevationctmin,REF_ctmin,location_ctmin,Thropic position,dataset,birth Wild or Captive,thermal tolerance notes,original order,Genus (sDIV dataset May),Species (sDIV dataset May),Kingdom,Phylum,Class,Order,Family,NCBI.UID,change,double?,taxonomic issues
plants,angiosperm,Acradenia,frankliniae,Acradenia frankliniae,,,,Royal Botanic Gardens Melbourne,http://www.rbg.vic.gov.au/dbpages/rbgcensus/index.php/census/species_detail/11537,Tasmania,extra points outside of range,excl.points,,,,,,,,,-36,JS,,Terrestrial,,,,,,,,,,,,-8.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Acradenia,frankliniae,Plantae,Streptophyta,Pentapetalae,Sapindales,Rutaceae,1226046,,,
plants,angiosperm,Adenandra,uniflora,Adenandra uniflora,,,,PlantZAfrica.com ,http://www.plantzafrica.com/plantab/adenanduni.htm,Adenandra uniflora occurs on the sandstone slopes of the southwestern Cape mountains from the Cape Peninsula to the Kleinrivier Mountains.,,fine,,,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-4.6,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Adenandra,uniflora,Plantae,Streptophyta,Pentapetalae,Sapindales,Rutaceae,76949,,,
plants,angiosperm,Adenostoma,fasciculatum,Adenostoma fasciculatum,,,,US forest service,http://www.fs.fed.us/database/feis/plants/shrub/adefas/all.html,Native to CA and Mexico,exclude two Canadian points,excl.points,,,,,,,,,45,JS,,Terrestrial,,64.1,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Adenostoma,fasciculatum,Plantae,Streptophyta,Pentapetalae,Rosales,Rosaceae,140993,unranked level used,,
plants,angiosperm,Aegopodium,podagraria,Aegopodium podagraria,,,,US forest service,http://www.fs.fed.us/database/feis/plants/forb/aegpod/all.html,introduced in North America from Europe but native distribution is unclear. ,,remove,native range unclear,,,,,,,,,JS,,Terrestrial,,45.4,LT50,,,,,,,Bilger et al 1984,3,,,,,,,,,,,,,C, Botanical garden Wurburg  ,,Aegopodium,podagraria,Plantae,Streptophyta,Pentapetalae,Apiales,Apiaceae,40902,unranked level used,,
plants,angiosperm,Agonis,flexuosa,Agonis flexuosa,,,,Weeds of Australia,http://keyserver.lucidcentral.org/weeds/data/080c0106-040c-4508-8300-0b0a06060e01/media/html/Agonis_flexuosa.htm,Native to the coastal districts of south-western Western Australia. Naturalised beyond its native range in Western Australia and sparingly naturalised in southern Victoria.,,remove,naturalized beyond native range in Oz,,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-4.4,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Agonis,flexuosa,Plantae,Streptophyta,Pentapetalae,Myrtales,Myrtaceae,106026,,,
plants,lichen,Alectoria,ochroleuca,Alectoria ochroleuca,,,,consortium of lichen herbaria of north Am; Vistnis 2008,,CLHNA: native to Nam arctic; primary literature: def native to nroway,global distribution too heterogeneous,remove,global range huge and hard to confirm (lichen),,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-8.1,ctmin,,,,46.8,10.9,2300,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Alectoria,ochroleuca,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,111641,,,
plants,angiosperm,Alyxia,buxifolia,Alyxia buxifolia,,,,NEW SOUTH WALES FLORA ONLINE,http://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Alyxia~buxifolia,NSW Vic. Tas. W.A. S.A.,4 points north of described range,excl.points,,,,1057371488;994716135;994716309;994716152,,,,,,JS,,Terrestrial,,,,,,,,,,,,-7.8,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Alyxia,buxifolia,Plantae,Streptophyta,Pentapetalae,Gentianales,Apocynaceae,141528,,,
plants,angiosperm,Anagyris,foetida,Anagyris foetida,,,AH: missing libya so southern RL in eastern portion mightbe too high,Hortipedia,http://en.hortipedia.com/wiki/Anagyris_foetida,"Anagyris foetida is native to France, the Iberian Peninsula, the Apennine Peninsula, Turkey, the Eastern Mediterranean, Northwest Africa and Libya.",2 erroneous points south of equator,excl.points,,,,,,,,0,,JS,,Terrestrial,,44.5,T50,,,0.5,40.3,-3.7,600,Godoy et al 2011,,,,,,,,,,,,,,W,foliage t50 = 50% of initial Fv/Fm values a critical not a lethal temp   ,,Anagyris,foetida,Plantae,Streptophyta,Pentapetalae,Fabales,Fabaceae,49793,unranked level used,,
plants,lichen,Anaptychia,leucomelaena,Anaptychia leucomelaena,,,,,,,too few points too sperarate around globe,remove,too few points too sperarate around globe,,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-7.5,ctmin,,,,4.2,9.2,2000,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Anaptychia,leucomelaena,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,NA,,,
plants,angiosperm,Anisotome,imbricata,Anisotome imbricata,,,,New Zealand flora,http://www.nzflora.info/factsheet/Taxon/Anisotome_imbricata_var_imbricata.html,endemic to NZ,,fine,,,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-8.2,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Anisotome,imbricata,Plantae,Streptophyta,Pentapetalae,Apiales,Apiaceae,152675,used unranked level Pentapetalae,,
plants,angiosperm,Anopterus,glandulosus,Anopterus glandulosus,,,,Australian National Herbarium,https://www.anbg.gov.au/gnp/interns-2003/anopterus-glandulosus.html,endemic to Tasmania,2 points north of Tasmania to remove,excl.points,,,,,,,,,-40,JS,,Terrestrial,,,,,,,,,,,,-8,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Anopterus,glandulosus,Plantae,Streptophyta,Pentapetalae,Escalloniales,Escalloniaceae,178799,,,
