dataset shorthand,type,Genus.ncbi,Species.ncbi,Species.name (queried GBIF),reason no map,IUCN?,to check,Range source,Range source website,Range description,Range errors,"Action (fine = no action needed; fine.unconfirmed = gbif records look good but no good info to check against; excl.points=exclude points according to code (lts, longs & gbifIDs); country.codes = use country codes as well as lats/longs/gbifIDs; remove.use.IUCN = remove from GBIF pipeline & use IUCN map; remove = unsolveable rnage errors, remove species entirely; partial.range = use only the part of the range where the thermal tolerance data come from (for sp with disjunct distributions in multiple coasts/continents) ",Action remove explanation,countries in range,country.codes,gbifIDs.to.excl,code to get gbifIDs to excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who did final code,potential good gbif range for IUCN comp,Realm,Body Mass,tmax,tmax_metric,Sex,tmax_pretreatment,Rate of change (ramping temp) C/MIN,latctmax,longctmax,elevationctmax,REF_ctmax,location_ctmax,ctmin,tmin_metric,sex,Rate of change (ramping temp) c/min,tmin_pretreatment,latctmin,longctmin,elevationctmin,REF_ctmin,location_ctmin,Thropic position,dataset,birth Wild or Captive,thermal tolerance notes,original order,Genus (sDIV dataset May),Species (sDIV dataset May),Kingdom,Phylum,Class,Order,Family,NCBI.UID,change,double?,taxonomic issues
plants,angiosperm,Baccharis,pilularis,Baccharis pilularis,,,,US forestry service; Calflora; wikipedia,http://www.fs.fed.us/database/feis/plants/shrub/bacpil/all.html; http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=1031,"fs: outer Coast Ranges from northern Baja California, Mexico, and San Diego County, California, north to Tillamook County, Oregon (ie almost at N Oregon border). The species also occurs in the Channel Islands and as isolated populations in the Cascade and Sierra Nevada foothills from Butte County to Tuolumne County, California [29,47].  Calflora: throughout coastal california, into central Cali. Wikip: native to California, Oregon, Washington, and Baja California.[3] There are reports of isolated populations in New Mexico, most likely introduced.[4] [5][6]",overall polygon should be fine if excl point in BC,excl.points,,,,,,,,,46,AH,,Terrestrial,,53.5,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Baccharis,pilularis,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,NA,"replicate input, used unranked level Pentapetalae",d,
plants,angiosperm,Banksia,aemula,Banksia aemula,,,,Australian National Herbarium,https://www.anbg.gov.au/gnp/interns-2006/banksia-aemula.html,"Banksia aemula can be found in Queensland and New South Wales, from Bundaberg to Sydney, in coastal heath on sandy soil",2 southern outliers outside of described range,excl.points,,,,,,,,-35,,JS,,Terrestrial,,,,,,,,,,,,-8.5,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Banksia,aemula,Plantae,Streptophyta,stem eudicotyledons,Proteales,Proteaceae,188586,,,
plants,angiosperm,Banksia,marginata,Banksia marginata,,,,Australian Native Plants Society,http://anpsa.org.au/b-mar.html,"Coastal heaths, forest and woodland in New South Wales, Victoria, Tasmania and South Australia.",outlier in WA,excl.points,,,,,,135,,,,JS,,Terrestrial,,,,,,,,,,,,-4.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Banksia,marginata,Plantae,Streptophyta,stem eudicotyledons,Proteales,Proteaceae,199779,,,
plants,angiosperm,Bauera,rubioides,Bauera rubioides,,,,Australian Native Plants Society,http://anpsa.org.au/b-rub.html,,"Forests and heaths of Queensland, New South Wales, Victoria, Tasmania and South Australia",fine,,,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-5.2,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Bauera,rubioides,Plantae,Streptophyta,Pentapetalae,Oxalidales,Cunoniaceae,23051,,,
plants,angiosperm,Berberis,empetrifolia,Berberis empetrifolia,,,,Chile flora,http://www.chileflora.com/Florachilena/FloraEnglish/HighResPages/EH0047.htm,,Southern half of Chile,excl.points,,,,,,,,,-32,JS,,Terrestrial,,,,,,,,,,,,-20.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Berberis,empetrifolia,Plantae,Streptophyta,stem eudicotyledons,Ranunculales,Berberidaceae,186724,,,
plants,angiosperm,Berberis,lutea,Berberis lutea,,,,missouri botanical garden,http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=Berberis+lutea,Colombia to Bolivia,outlier in Antarctica,excl.points,,,,,,,,-50,,JS,,Terrestrial,,,,,,,,,,,,-10.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Berberis,congesta,Plantae,Streptophyta,stem eudicotyledons,Ranunculales,Berberidaceae,258184,,,
plants,fern,Blechnum,penna-marina,Blechnum penna-marina,,,,hardyfernlibrary.com,http://hardyfernlibrary.com/ferns/listSpecies.cfm?Auto=104,"Argentina, Chile, New Zealand, southeastern Australia",Points in sourthern hemisphere seem fine,partial.range,,,NZ;AU;CL;AR,,,,,,0,JS,,Terrestrial,,,,,,,,,,,,-13.2,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage NZ FF = processed within 24hrs  ,,Blechnum,penna-marina,Plantae,Streptophyta,Polypodiidae,Polypodiales,Blechnaceae,393582,used unranked level Pentapetalae,,
plants,moss,Brachythecium,rutabulum,Brachythecium rutabulum,,,,Berkley Herbarium; Flora of N.Am,http://ucjeps.berkeley.edu/cgi-bin/get_moss_treatment.pl?taxon=Brachythecium%20rutabulum; http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200002252,"BH gives range map for Cali only: S RL = point conception, N RL = N of california.  Flora NA: B.C., N.B., Nfld. and Labr., N.S., Ont., Que.; Ala., Ark., Conn., Del., D.C., Idaho, Ill., Maine, Md., Mass., Mich., Minn., Miss., Mo., Mont., Nebr., N.H., N.J., N.Y., N.C., N.Dak., Ohio, Pa., R.I., S.Dak., Tenn., Vt., Va., W. Va., Wis., Wyo.; Central America; Eurasia; n Africa; Atlantic Islands; Pacific Islands (Hawaii, New Zealand); Australia.  1st page of Web of sci refs place in: Poland, Slovakia, N Spain, Croatia, Switzerland,  Kosovo, Greece, Germany.  didnt go beyond that as already missing the southern RL","have great range description for N.Am but all gbif records and thermal tol specimen come from europe, where missing southern range limit (goes at least as far south as northern spain)",remove,missing S RL (at least as far S as northern Spain),,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-29.3,LT50,,,,51,6.8,50,Rôtten & Santarius 1992,1,,,W,50% irreversible inactivation of the net photosynthetic capacity of the plants    ,,Brachythecium,rutabulum,Plantae,Streptophyta,Bryopsida,Hypnales,Brachytheciaceae,53005,,,
plants,lichen,Brodoa,intestiniformis,Brodoa intestiniformis,,,,North american lichen herbaria,http://lichenportal.org/portal/taxa/index.php?taxon=63000,"circumpolar, arctic and northern boreal and alpine regions to the south.  Abdelkrim Lichen list of Morrocco donêt list, nor does complete lichen flora of Israel, nor does study of lichens of greece although only look on some substrates.  Is listed in Catalogue of lichens if Italy (Nimis 1993, google books) cant see whole range descroption but says ""wide distrbution in Europe, from northernmost Scandinavia to...",North American range lacking coverage,partial.range,use western European range,,,,,-10,45,38,,AH,,Terrestrial,,,,,,,,,,,,-15.9,ctmin,,,,51.7,10.6,800,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Brodoa,intestiniformis,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,172610,,,
plants,angiosperm,Bromus,rubens,Bromus rubens,,,,"US Forestry Service, United States Department of Agriculture; Invasive Species Compendium",http://www.fs.fed.us/database/feis/plants/graminoid/brospp/all.html; http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?7864; http://www.cabi.org/isc/datasheet/10033,"Red brome is native to southern Europe [80]. In North America, it is distributed from central Washington south to Baja California and east to central Idaho, southwestern Texas, and Sonora [66,84]. It is casually adventive in the Northeast [36] and introduced in Hawaii [75]. PLANTS database provides distributional maps of foxtail chess and of red brome.","Not native to North America or Australia. Points in North and Eastern Europe are suspicious.Remove points in Japan and Argentina. Naturalized outside of its range in UK, Australia, US, and Argentina. According to country list in CABI, remove points from UK, Belgium, and Denmark.",excl.points,,,,,,-50,90,,50,JS,,Terrestrial,,,,,,,,,,,,-30,LT50,,0.075,-10,32.4,-110.75,1800,BYKOVA & SAGE 2012,1,,,W,Whole plant   ,,Bromus,rubens,Plantae,Streptophyta,Liliopsida,Poales,Poaceae,52137,,,
plants,angiosperm,Bromus,tectorum,Bromus tectorum,,,,US Forestry Service,http://www.fs.fed.us/database/feis/plants/graminoid/brotec/all.html,"The native range of cheatgrass encompasses much of Europe, the northern rim of Africa, and southwestern Asia [246,321]. Cheatgrass can now be found throughout most of Europe to southern Russia and western Asia. It has also been introduced to North America, temperate South America, Japan, South Africa, Australia, New Zealand, and Iceland [321,438,492].",,excl.points,,,,920775724,,-50,30,10,,JS,,Terrestrial,,,,,,,,,,,,-30,LT50,,0.075,-10,32.4,-110.75,1800,BYKOVA & SAGE 2012,1,,,W,Whole plant   ,,Bromus,tectorum,Plantae,Streptophyta,Liliopsida,Poales,Poaceae,29667,,,
plants,angiosperm,Bursaria,spinosa,Bursaria spinosa,,,,Florabank,http://www.florabank.org.au/lucid/key/species%20navigator/media/html/Bursaria_spinosa.htm,"Victoria, NSW, Tas, and Queensland",Point in WA to remove,excl.points,,,,,,130,155,,,AH,,Terrestrial,,,,,,,,,,,,-10.5,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Bursaria,spinosa,Plantae,Streptophyta,Pentapetalae,Apiales,Pittosporaceae,105281,,,
plants,angiosperm,Callicoma,serratifolia,Callicoma serratifolia,,,,PlantNET (New South Wales Floral online),http://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Callicoma~serratifolia,"NSW: Grows mainly in rainforest and on its margins, often in regrowth, common along creeks and rocky gullies; North from Batemans Bay (35 42degreees S lat) into south east QLD",excl point in Nam,excl.points,,,,,,146,,-36,-10,JS,,Terrestrial,,,,,,,,,,,,-4.4,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Callicoma,serratifolia,Plantae,Streptophyta,Pentapetalae,Oxalidales,Cunoniaceae,138870,,,
plants,angiosperm,Callistemon,viridiflorus,Callistemon viridiflorus,,,,Royal Horticultural Soc,https://www.rhs.org.uk/Plants/2697/Callistemon-viridiflorus/Details?returnurl=%2Fplants%2Fsearch-results%3Fform-mode%3Dfalse%26query%3DCallistemon%26aliaspath%3D%252fplants%252fsearch-results,tasmania ,excl plus small outlier pop  in NSW,excl.points,,,,,,,,,-40,AH,,Terrestrial,,,,,,,,,,,,-12.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Callistemon,viridiflorus,Plantae,Streptophyta,Pentapetalae,Myrtales,Myrtaceae,164922,,,
plants,gymnosperm,Callitris,endlicheri,Callitris endlicheri,,,,gymnosperm database; florabank,http://www.conifers.org/cu/Callitris_endlicheri.php; http://www.florabank.org.au/lucid/key/species%20navigator/media/html/Callitris_endlicheri.htm,"along the Great Dividing Range and adjacent western slopes of south eastern Australia, from the New South Wales-Victorian border, north to south east Queensland [1]. Several isolated populations occur on ranges near central Queensland, to the north of its main distribution",excl points outside Aust and in W aus,excl.points,,,,,,140,160,-37.5,-22,AH,,Terrestrial,,,,,,,,,,,,-8.5,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Callitris,endlicheri,Plantae,Streptophyta,Pinidae,Cupressales,Cupressaceae,214234,,,
plants,lichen,Caloplaca,aurantia,Caloplaca aurantia,,,,British lichens (private site); Czhechmycology; ,http://www.lichens.lastdragon.org/Caloplaca_aurantia.html,"in UK: predominantly in south-eastern England but extending west on sunny, limestone outcrops.  Soun & Vondrak say: C. aurantia ... grow on both inland and maritime calcareous rocks throughout the mild-temperate to subtropical zone of the Old World (e. g. Nordin 1972, Wasser and Nevo 2005)  refs include floras in Czech, Russia, Israel, Germany. Temina & Brodo (2013) confirms in Israel","northern edge looks ok(northern UK, def not on Svalbard), southern edge missing israel, E edge missing points in Russia by Geogria. get rid of points W of europe",remove,missing S RL (Israel) and W RL (Russia),,,,,-12,,,,AH,,Terrestrial,,,,,,,,,,,,-11.5,ctmin,,,,30.5,35.1,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Caloplaca,aurantia,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,1301589,,,
plants,lichen,Caloplaca,ferruginea,Caloplaca ferruginea,,,check european range,Consortium of lichen herbaria; published articles; seaweeds of alaska (weird); Temina & Brodo (2013),http://lichenportal.org/portal/taxa/index.php?taxon=56256; http://www.seaweedsofalaska.com/species.asp?SeaweedID=126,"worldwide.  Sonoran distribution from northern Sinaloa through California. gov websites have in Ireland, USA, Canada. Confirmed specimens in Norway, Alaska panhandle, Aleutian Islands, Israel. Comprehensive assessment says not on svalbard (Sochting etal 2008).  List of Australian lichens doesnt include, assume not in Oz","not on svalbard or australia, should be in S Korea but isnt",partial.range,use European range,,,,,,,,75,AH,,Terrestrial,,,,,,,,,,,,-11,ctmin,,,,30.5,35.1,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Caloplaca,ferruginea¾,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,389382,,,
plants,angiosperm,Caltha,obtusa,Caltha obtusa,,,,New Zealand Plant Conservation Network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1204,NZ Endemic. South Island (from Canterbury southwards),"missing v S RL if goes all the way down S island, also exxl point in ocean",excl.points,,,,,,,,-47,,AH,,Terrestrial,,,,,,,,,,,,-8.3,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Psychrophila,obtusa,Plantae,Streptophyta,stem eudicotyledons,Ranunculales,Ranunculaceae,253625,"genus name updated, unranked level used",,
plants,angiosperm,Cantua,buxifolia,Cantua buxifolia,,,,wikipedia,,"high valleys of the yungas (a stretch of forest along the eastern slope of the Andes Mountains from Peru, Bolivia, and northern Argentina)",get rid of points outside andes,excl.points,,,,,,,,-22,0,AH,,Terrestrial,,,,,,,,,,,,-3.8,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Cantua,buxifolia,Plantae,Streptophyta,Pentapetalae,Ericales,Polemoniaceae,110325,,,
plants,angiosperm,Castanea,dentata,Castanea dentata,,,,wikipedia (using USDA map),https://en.wikipedia.org/wiki/American_chestnut,"eastern N.Am from north shore of lk eerie to scattered pops lmost to gulf of MX.  = natural range, pre dutch elm disease, interestingly mature trees now more common outside its histric range as disease less prevelent",points in michigan & outside described range,excl.points,,,,1024191827;736289316,,-89,-68,30,45,AH,,Terrestrial,,,,,,,,,,,,-35.7,LT50,,,,43.04,-73,340,Gurney et al 2011,1,,,W,shoots from saplings    ,,Castanea,dentata,Plantae,Streptophyta,Pentapetalae,Fagales,Fagaceae,134033,unranked level used,,
plants,angiosperm,Ceanothus,cuneatus,Ceanothus cuneatus,,,,Jepson Flora Project,"http://ucjeps.berkeley.edu/cgi-bin/get_JM_treatment.pl?6586,6589,6594",California Floristic Province (except Great Central Valley) : Oregon to northern Baja California,"excl point in Oz, Canada, and isolated point in Cali",excl.points,,,,51791423,,,-110,,46,AH,,Terrestrial,,57.8,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Ceanothus,cuneatus,Plantae,Streptophyta,Pentapetalae,Rosales,Rhamnaceae,54780,unranked level used,,
plants,angiosperm,Ceanothus,oliganthus,Ceanothus oliganthus,,,,Calflora,http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Ceanothus+oliganthus,endemic to the Santa Monica Mountains of California,excl points outside California. More isolated points in central Cali are fine,excl.points,,,,,,,-115,,42,AH,,Terrestrial,,54.8,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Ceanothus,oliganthus,Plantae,Streptophyta,Pentapetalae,Rosales,Rhamnaceae,73697,unranked level used,,
plants,gymnosperm,Cedrus,atlantica,Cedrus atlantica,,,check where specimen is from,missouri botanical garden,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c203,"Atlas Mts of Moroco, the Rif, to Tell Atals in Algeria",excl points outside morooc and algeria,excl.points,,"morocco, algeria",MA;DZ,,,-13,13,,37.2,AH,,Terrestrial,,51,tmax,,30,1,42.49,2.25,770,Froux et al 2004,,,,,,,,,,,,,,W,Foliage from seeding  TC= critical temperature at ground fluorescence breakpoint  ,,Cedrus,atlantica,Plantae,Streptophyta,Pinidae,Pinales,Pinaceae,123597,subclass used,,
plants,angiosperm,Celmisia,argentea,Celmisia argentea,,,,NZ plant conservatino network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1610,NZ Endemic. South Island: Otago and Southland from Garvie Mountains southwards,excl point N of otago,excl.points,,NZ,NZ,,,,,,-44.2,AH,,Terrestrial,,,,,,,,,,,,-7.7,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Celmisia,argentea,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,NA,used unranked level Pentapetalae,,
plants,angiosperm,Celmisia,brevifolia,Celmisia brevifolia,,,know the range - could constructpolygon somehow?,NZ plant conservatino network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1614,NZ Endemic. South Island: Throughout. Montane to subalpine.,"excl points off NZs S Is, no records from N half of island",remove,missing N RL in northern half of south Is,NZ,NZ,,,165,180,,,AH,,Terrestrial,,,,,,,,,,,,-8.5,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Celmisia,brevifolia,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,NA,used unranked level Pentapetalae,,
plants,angiosperm,Celmisia,haastii,Celmisia haastii,,,,NZ plant conservatino network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1622,"NZ Endemic. South Island, occurring south from about North Canterbury Montane to alpine",none,fine,,NZ,NZ,,,165,180,,,AH,,Terrestrial,,,,,,,,,,,,-8.1,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage NZ FF = processed within 24hrs  ,,Celmisia,haastii,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,NA,used unranked level Pentapetalae,,
plants,angiosperm,Celmisia,prorepens,Celmisia prorepens,,," Field guide to the alpine plants of NZ, Woodward library",library; NZ flora; Bannister etal 2005,http://www.nzflora.info/factsheet/Taxon/Celmisia_prorepens.html,"NZ endemic - no more details given on website.  Bannister etal sampled plants in 3 locations and this sp is only present in one, so might have a truly narrow range, but prob not quite enough data to know for sure.  Unless we can find a NZ plant guide book?",,,,NZ,NZ,,,165,180,,,AH,,Terrestrial,,,,,,,,,,,,-7.9,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Celmisia,prorepens,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,NA,used unranked level Pentapetalae,,
plants,angiosperm,Celmisia,viscosa,Celmisia viscosa,,,,NZ plant conservatino network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1651,NZ Endemic. South Island. Marlborough south an dmostly east of the divide. Upper montant to alpine,,excl.points,,NZ,NZ,,,165,180,,,AH,,Terrestrial,,,,,,,,,,,,-12.4,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Celmisia,viscosa,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,NA,used unranked level Pentapetalae,,
plants,angiosperm,Cercocarpus,betuloides,Cercocarpus betuloides,,,,Flora of North America,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250100540,"confined to western N.Am (Calflora).  In USA The plant is native to California, Baja California, Oregon, Arizona, and northwestern New Mexico. Flora of N.Am says var betuloides is Ariz, Calif, Oreg, MX (Baja Calif), while var blancheae is california only (rare in norhtern Baja) but that two are really a single taxon.  "" Varieties 3 (3 in the flora): w United States, nw Mexico. The western, spring-flowering Cercocarpus betuloides in the broad sense, centered in California, is well supported by molecular data. A total of five taxa have been recognized in recent floras; molecular data provide no support for these taxa, but instead support recognition of a single inclusive taxon.""",must be mixed in with another species - points in central  MX and central USA donêt match range map/description,excl.points,,,,1052809290;234593539;216499630;211296127;1097252079;216500289;1098243236;216500303;216500281;216500283;1098115299;216500327;216499581;216499582;1098028786;216499311;216499576;216500273;1021116214,"subset(procOcc, procOcc$lon<(-113) & procOcc$lon>(-115) &procOcc$lat>(34))$gbifID",,-113,,,AH,,Terrestrial,,57.1,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Cercocarpus,betuloides,Plantae,Streptophyta,Pentapetalae,Rosales,Rosaceae,140994,unranked level used,,
plants,lichen,Cetraria,aculeata,Cetraria aculeata,,,could use just N.Am range if thermal tol samples come from Nam.  Sampling in africa & russia too sparse to trust eurasian range,wikipedia,,"C. aculeata has a very wide distribution. It is frequent in open polar and boreal environments from the maritime Antarctic to the high Arctic. At intermediate latitudes it is mostly found in high mountain ecosystems, as well as its distributional range also extends into forest gaps, woodland and steppe ecosystems, or coastal and riparian sand deposits of the Mediterranean and temperate zones.",could use just N.Am range if thermal tol samples come from Nam.  Sampling in africa & russia too sparse to trust eurasian range,remove,"sample from Europe, sampling in Africa & Russia too sparse to trust",,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-12.7,ctmin,,,,49.1,8.3,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Cetraria,aculeata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,112271,,,
plants,angiosperm,Chionohebe,thomsonii,Chionohebe thomsonii,no occurrences,,,.,,,,.,,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-13.1,LT50,,0.083,FF,-44.9,169.1,1520,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Chionohebe,thomsonii,Plantae,Streptophyta,Pentapetalae,Lamiales,Plantaginaceae,124263,used unranked level Pentapetalae,,
plants,angiosperm,Cineraria,saxifraga,Cineraria saxifraga,,,,plantZA,http://www.plantzafrica.com/plantcd/cinersax.htm,"Cineraria saxifraga occurs naturally from Swellendam (20 deg log) in the Western Cape to the Eastern Cape, where it usually grows on rocky slopes in the shade. ",get ird of piont in Oz,remove,too sparsely sampled - missing W part of range,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-5.5,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Cineraria,saxifraga,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,317275,,,
plants,lichen,Cladonia,convoluta,Cladonia convoluta,,,,wikipedia,https://it.wikipedia.org/wiki/Cladonia_convoluta,"throughout erope but also lgeria, canary islands, morocco, usrael, tunisia (lichens of isreal website says def in israel)",missing southern part of range in N Africa,remove,missing S RL,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-21.9,ctmin,,,,44.2,-0.1,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Cladonia,convoluta,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,184092,,,
plants,lichen,Cladonia,foliacea,Cladonia foliacea,,,,Pino-Bodas etal (2010),,"Europe incl Uk, italy, sweden, ireland, spain, Ä but probably mixed up with C convoluta",taxonomy problems,remove,taxonomic problems,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-26.3,ctmin,,,,49.1,8.3,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Cladonia,foliacea,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,184101,,,
plants,lichen,Cladonia,furcata,Cladonia furcata,,,,wikipedia,http://lichenportal.org/portal/taxa/index.php?taxon=53413,"lichen prtaol ""all continents except Antarctica"".  Wiki: In North America, it is found from Alaska[2] to California, and is very common in the west Cascade range.",missing N Am range,remove,"missing much of range (eg N.Am, FRance)",,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-16,ctmin,,,,49.1,8.3,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Cladonia,furcata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,174060,,,
plants,lichen,Cladonia,gracilis,Cladonia gracilis,,,use N.Am range only?,Lichen portal; Ahti (1980) taxonomic revision of Cladonia gracilis and its allies; Atalks of living Australia,http://lichenportal.org/portal/taxa/index.php?taxon=53416; http://bie.ala.org.au/species/urn:lsid:catalogueoflife.org:taxon:2e94cda9-4661-11e1-9b0d-e752e483e0da:col20120124; https://data.aad.gov.au/aadc/biodiversity/taxon_profile.cfm?taxon_id=101338,"Asia, Europe and North America. Ahti (1980) revises taxonomy and divides remaining sp into 6 subspp incl: southern Australia, Alaska, Greenland, USA (washington, smoky Mts, Montana), Canada (BC).  So, range disjuct.  European range almost certainly incomplete as should include russia where sampling sucks.  mght also occur on antarctica.  use NAm range only? but sampled from europe so remove.",european range (where spp sampled) incomplete,remove,European range (where sp sampled) incomplete,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-15.4,ctmin,,,,46.8,10.9,2300,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Cladonia,elongata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,111668,species name update Synonymy = Cladonia gracilis in microbank,,
plants,lichen,Cladonia,oceanica,Cladonia oceanica,,,check naming in gbif,,,,,remove,only 1 record,,,,,,,,,AH,,Terrestrial,,37.5,t50,,,,19.4,-155.3,1200,Kappen & Smith 1980,1,,,,,,,,,,,,,W,50% reduction in photosysthesis    ,,Cladonia,oceanica,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,NA,,,
plants,lichen,Cladonia,rangiformis,Cladonia rangiformis,,,use if occurrs everywhere?,Consortium of N Am lichen herbaria,,everywhere: Africa (incl Madagascar) | Eurasia _ Asia Extratropical | Eurasia _ Europe | Americas _ North America (incl Mexico) | Americas _ South and Central America | Eurasia _ Asia Tropical | Arctic. incl isreal (isreali lichen website),,remove,"missing much of range (eg N.Am, Africa)",,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-18.7,ctmin,,,,49.1,8.3,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Cladonia,rangiformis,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,174068,,,
plants,lichen,Cladonia,skottsbergii,Cladonia skottsbergii,,,,.,.,.,,remove,only 2 points,,,,,,,,,AH,,Terrestrial,,35.5,t50,,,,19.4,-155.3,1200,Kappen & Smith 1980,1,,,,,,,,,,,,,W,"50% reduction in photosysthesis - specimens collected from steam vents, omit?   ",,Cladonia,skottsbergi,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,NA,species name update,,
