dataset shorthand,Genus (queried GBIF),Species (queried GBIF),Species.name (queried GBIF),reason no map,IUCN?,Range source,Range source website,Range description,Range errors,"Action (fine = no action needed; fine.unconfirmed = gbif records look good but no good info to check against; excl.points=exclude points according to code (lats, longs & gbifIDs); country.codes = use country codes as well as lats/longs/gbifIDs; remove.use.IUCN = remove from GBIF pipeline & use IUCN map; remove = unsolveable range errors, remove species entirely",Action remove explanation,countries in range,country.codes,gbifIDs.to.excl,code to get gbifIDs to excl,excl.lon.above,excl.lon.below,excl.lat.above,excl.lat.below,who did final code,range disjunct,potential good gbif range for IUCN comp,Realm,Body Mass,tmax,tmax_metric,Sex,tmax_pretreatment,Rate of change (ramping temp) C/MIN,latctmax,longctmax,elevationctmax,REF_ctmax,location_ctmax,ctmin,tmin_metric,sex,Rate of change (ramping temp) c/min,tmin_pretreatment,latctmin,longctmin,elevationctmin,REF_ctmin,location_ctmin,Thropic position,dataset,birth Wild or Captive,thermal tolerance notes,original order,Genus (sDIV dataset May),Species (sDIV dataset May),Kingdom,Phylum,Class,Order,Family,NCBI.UID,NCBI change,name changed from sDIV to NCBI,name disagreement,issues GBIF-queried vs NCBI names,name action,name action outcome
original,Abra,tenuis,Abra tenuis,,,,http://species-identification.org/species.php?species_group=mollusca&id=517,Reported in the North Sea as far north as Northumberland and the German Bight (Distr. A. tenuis). Distributed south to the Mediterranean and north-west Africa.,much of range missing; non-contiguous,remove,missing parts of range,,,,,,,,,AH,,.,intertidal,,33.44,LT50,,5,NA,53,5,0,Compton_et_al2007,1,-1.68,LT50,,NA,5,53,5,0,Compton_et_al2007,1,,NCC,,,1,Abra,tenuis,Animalia,Mollusca,Bivalvia,Veneroida,Semelidae,NA,,,,,,
original,Abudefduf,saxatilis,Abudefduf saxatilis,,,Fishbase,http://www.fishbase.org,Atlantic only. / Atlantic Ocean: Canada (Ref. 5951) to Rhode Island; USA to Uruguay in the western Atlantic; abundant on Caribbean reefs; around islands of the mid-Atlantic; Cape Verde; and along the tropical coast of western Africa south to Angola. This species is strictly an Atlantic species. It is replaced in the Indo-Pacific region by the closely related Abudefduf vaigiensis (G. Allen; pers. comm.).,"many misidentifications, should be in Atlantic only.  W side of atlantic (ie eastern N.Am) well sampled but missing southern extent (uruguay). E side (ie W Africa) v poorly sampled.",remove,"many misIDs, part of range poorly sampled",AGO BEN CMR CPV COG COD CIV GNQ GAB GMB GHA GIN GNB LBR MRA MRT MAR NGA STP SEN SLE SHN TGO ESH MLT AIA ATG ABW BHS BRB BLZ BMU CAN CYM CRI CUB CUW DMA DOM GRD GLP GTM HTI HND JAM MTQ MEX MSR NIC PAN PRI KNA LCA VCT TTO TCA USA VGB VIR BRA COL GUF GUY SPR SUR TRD URY VEN,AO;BJ;CM;CV;CG;CD;CI;GQ;GA;GM;GH;GN;GW;LR;MRA;MR;MA;NG;ST;SN;SL;SH;TG;SH;MT;AI;AG;AW;BS;BB;BZ;BM;CA;KY;CR;CU;CW;DM;DO;GD;GP;GT;HT;HN;JM;MQ;MX;MS;NI;PA;PR;KN;LC;VC;TT;TC;US;VG;VI;BR;CO;GF;GY;SPR;SR;TRD;UY;VE,,procOcc$lon>18|procOcc$lon<(-98)|procOcc$lon<(-89)&procOcc$lat<(18) | procOcc$lon<(-84)&procOcc$lat<(15) | procOcc$lon<(-78)&procOcc$lat<(9.2)|procOcc$lon<(-75)&procOcc$lat<(7)|procOcc$lat>(49),16,-98,,,AH,,.,marine,31.5,40,LT100,,NA,NA,9.5,-78,0,Scholander_et_al1953,2,10,LT100,,,,9.5,-78,0,Scholander_et_al1953,2,,,,,2,Abudefduf,saxatilis,Animalia,Chordata,Actinopteri,Perciformes,Pomacentridae,50731,"NCBI does not rank an order, other unranked levels between family and class are not in the tree of life, other classifications place it in  Perciformes",,,,,
original,Acanthodactylus,erythrurus,Acanthodactylus erythrurus,IUCN,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=61456,,remove.use.IUCN,.,Algeria; Morocco; Portugal; Spain,DZ;MA;PT;ES,,,,,,,RL,,Y,terrestrial,8.9,46.3,ctmax,M,35,1,36.9667,-2.4,585,Bauwens_et_al1995,2,NA,ctmin,,,,NA,,NA,,,,Clusella-Trullas; NCC,,,3,Acanthodactylus,erythrurus,Animalia,Chordata,Lepidosauria,Squamata,Lacertidae,111511,NCBI does not rank class therefore used,,,,,
none - already removed,Acanthomyops,sp,NA,NO SP,,none,,,no species name,remove,no sp name,,,,,,,,,NA,,.,terrestrial,,40,ctmax,,25,0.2,36.04,-79.07,180,Diamond_et_al2012,1,,,,,,,,,,,,,,,735,Acanthomyops,sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,,,,,,
outstanding,Acar,domingensis,Acar domingensis,,,WoRMS,,Gulf of Mexico,points on east,excl.points,.,,,,procOcc$lon>(-47),-47,,,,RL,,.,marine ,,39,ctmax,,26,0.017,-7.89,-14.38,0,Morley_et_al2014,1,,,,,,,,,,,,,,Subtidal = marine?,846,Acar,domingensis,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,121031,,,,,,
original,Acontias,meleagris,Acontias meleagris,IUCN,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=44960134,lots range missing,remove.use.IUCN,.,Namibia; Botswana; Zimbabwe; Republic of South Africa; Kenya; S Angola; NE Tanzania,NA;BW;ZW;ZA;KE;AO;Tanzania,,,,,,,RL,,Y,terrestrial,7.3,41,ctmax,,NA,1,-33.0999,18.0333,30,Withers1981,1,NA,ctmin,,,,NA,,NA,,,,Clusella-Trullas,,,4,Acontias,meleagris,Animalia,Chordata,Lepidosauria,Squamata,Scincidae,156899,NCBI does not rank class therefore used,,,,,
original,Acris,crepitans,Acris crepitans,,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=55286,,remove.use.IUCN,.,Canada; Mexico; United States,CA;MX;US,,procOcc$lon<(-110),,-110,,,NA,,Y,terrestrial,,NA,NA,,0,,29.95,-90.08,304.8,Brattstrom1968,1,-1,LT50,,,23,29.95,-90.08,304.8,Brattstrom1968,,,PNAS,,,5,Acris,crepitans,Animalia,Chordata,Amphibia,Anura,Hylidae,317300,,,,,,
original,Adamussium,colbecki,Adamussium colbecki,,,doi:10.1016/j.dsr2.2006.02.004,,circum-Antarctic species,,fine,.,,,,,,,,,RL,,.,marine ,,11.7,ctmax,,26,0.00069,-77.85,166.67,0,Morley_et_al2014,1,,,,,,,,,,,,,,,6,Adamussium,colbecki,Animalia,Mollusca,Bivalvia,Pectinoida,Pectinidae,95546,,,,,,
,Adamussium,colbecki,NA,,,,,,,NA,.,,,,,,,,,NA,,.,marine,,2,ctmax,,NA,0.00017,-67.5,-68,0,Peck_et_al2004,1,-1.5,ctmin,,,NA,-67.5,-68,0,Peck_et_al2004,1,,NCC,,,,Adamussium,colbecki,Animalia,,,,,,,double,,double in thermal tolerance database,remove one of the two thermal tolerance sources,
original,Adelotus,brevis,Adelotus brevis,,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=520,,remove.use.IUCN,.,Australia,AU,482229260;483077538;482959405;483013703;483234887;483361789;621066864;911538543;500762337,procOcc$lon<149.3,,149.3,,,NA,,Y,terrestrial,,31.2,ctmax,,25,1,-33.43,151.35,304.8,Brattstrom1970,1,NA,NA,,,0,-33.43,151.35,304.8,Brattstrom1970,,,PNAS,,Mulple entries for species ,7,Adelotus,brevis,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,104075,,,,,,
