dataset.shorthand,type,Species.name.olsdrange.mergedw.sdiv,,Species.name.gbifquery,reason.no.map,IUCN,to.check,Range.source,Range.source.website,Range.description,Range.errors,Action..fine...no.action.needed..fine.unconfirmed...gbif.records.look.good.but.no.good.info.to.check.against..excl.points.exclude.points.according.to.code..lts..longs...gbifIDs...country.codes...use.country.codes.as.well.as.lats.longs.gbifIDs..remove.use.IUCN...remove.from.GBIF.pipeline...use.IUCN.map..remove...unsolveable.rnage.errors..remove.species.entirely..partial.range...use.only.the.part.of.the.range.where.the.thermal.tolerance.data.come.from..for.sp.with.disjunct.distributions.in.multiple.coasts.continents..,Action.remove.explanation,countries.in.range,country.codes,gbifIDs.to.excl,code.to.get.gbifIDs.to.excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who.did.final.code,potential.good.gbif.range.for.IUCN.comp,Realm,Body.Mass,tmax,tmax_metric,max_interval_after_LT0,tmax.1,max_metric,max_interval_before_lt100,measure,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,breadth,tmin,min_metric,min_interval_after_lt0,tmin.1,min_metric.1,min_interval_before_lt100,min_metric_com,measure.1,min_pretreatment,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,NOTES,Genus_book,Species_book,in.book,photo.order,name_notes
plants,algae,Desmarestia menziesii,,Desmarestia menziesii,no occurances,,no map,,,,,remove,no occurances,,,,,,,,,JS,NA,Marine,NA,16.3,LT0,1,17.3,LT100,1,NA,NA,NA,-61.934135,-57.901964,0,Wiencke_and_torn_Dieck_1990,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,,,,65.5,12,
plants,algae,Desmarestia viridis,,Desmarestia viridis,no occurances,,no map,,,,,remove,no occurances,,,,,,,,,JS,NA,Marine,NA,26.4,LT0,1,NA,,NA,NA,NA,20,48.673196,-4.209235,0,Peters_&_Breeman_1992,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,,,,65.6,13,
plants,algae,Phaeurus antarcticus,,Phaeurus antarcticus,no occurances,,no map,,,,,remove,no occurances,,,,,,,,,JS,NA,Marine,NA,15.5,LT0,1,16.5,LT100,1,NA,NA,NA,-61.934135,-57.901964,0,Wiencke_and_torn_Dieck_1989,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,NA,NA,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,,,,66.1,14,
plants,algae,Ecklonia radiata,,Ecklonia radiata,no occurances,,no map,,,,,remove,no occurances,,,,,,,,,JS,NA,Marine,NA,24,LT0,2,26,LT100,2,NA,NA,NA,-41.34463,174.784442,0,Novaczek_1984,1,,8,rmin?,1,NA,,NA,,,NA,-41.34463,174.784442,0,Novaczek_1984,1,Phaeophyceae,Phaeophyceae,Laminariales,Lessoniaceae,,,,68.2,15,
plants,algae,Egregia menziesii,,Egregia menziesii,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,British Columbia to California, ,fine,,NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Intertidal,NA,18,LT0,2,20,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Lessoniaceae,low littoral to sublittoral,,,69.1,16,
plants,algae,Pterygophora californica,,Pterygophora californica,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,Alaska to California,,fine,,NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Marine,NA,18,LT0,2,20,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Alariaceae,,,,71.1,17,
plants,algae,Halosiphon tomentosa,,Chorda tomentosa,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Very common in cold and temperarate climates of the Northern hemisphere: N and NE Atlantic (Greenland to Canary Is); NW Atlantic (Labrador to New Jersey); Mediterranean (France, Greece); NW Pacific (Japan, China); NE Pacific (Alaska)",,remove,missing southern part of range,NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Marine,NA,18,LT0,2,20,LT100,2,NA,NA,NA,54.19261,7.86732,0,L始ing_1984,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Halosiphonaceae,,Chorda,tomentosa,72.2,18,synonym of Chorda totemosa
plants,algae,Laminaria digitata,,Laminaria digitata,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Greenland to Canary Islands, North Sea. NW Atltantic",Unclear if sampled fully in NE Atlantic; Euro range looks good.,partial.range,use euro range where sampled,NA,NA,,NA,-45,NA,NA,NA,JS-2016,NA,Intertidal,NA,19,LT0,1,21,LT100,1,NA,NA,NA,54.19261,7.86732,0,L始ing_1980,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Laminariaceae,41% survival at 20,,,76.2,19,
plants,algae,Laminaria hyperborea,,Laminaria hyperborea,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,Iceland to Canary Islands; North Sea,,fine,,NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Marine,NA,19,LT0,1,21,LT100,1,NA,NA,NA,54.19261,7.86732,0,L始ing_1980,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Laminariaceae,41% survival at 20,,,76.5,20,
plants,algae,Laminaria pallida,,Laminaria pallida,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Namibia, W. coast of S. Africa, Tristan da Cunha","One point in Caribbean, another on Indian oceanic island. Exclude these points.",excl.points,,NA,NA,,NA,-45,45,NA,NA,JS-2016,NA,Marine,NA,22,LT0,1,NA,,NA,NA,NA,NA,-33.988622,18.346018,0,Tom_Dieck_Bartsch_&_Oliveira_1993,1,,0,gmin,5,NA,,NA,,,NA,-33.988622,18.346018,0,Tom_Dieck_Bartsch_&_Oliveira_1993,1,Phaeophyceae,Phaeophyceae,Laminariales,Laminariaceae,CTMIN = loose of growth,,,76.6,21,
