dataset.shorthand,type,Species.name.olsdrange.mergedw.sdiv,,Species.name.gbifquery,reason.no.map,IUCN,to.check,Range.source,Range.source.website,Range.description,Range.errors,Action..fine...no.action.needed..fine.unconfirmed...gbif.records.look.good.but.no.good.info.to.check.against..excl.points.exclude.points.according.to.code..lts..longs...gbifIDs...country.codes...use.country.codes.as.well.as.lats.longs.gbifIDs..remove.use.IUCN...remove.from.GBIF.pipeline...use.IUCN.map..remove...unsolveable.rnage.errors..remove.species.entirely..partial.range...use.only.the.part.of.the.range.where.the.thermal.tolerance.data.come.from..for.sp.with.disjunct.distributions.in.multiple.coasts.continents..,Action.remove.explanation,countries.in.range,country.codes,gbifIDs.to.excl,code.to.get.gbifIDs.to.excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who.did.final.code,potential.good.gbif.range.for.IUCN.comp,Realm,Body.Mass,tmax,tmax_metric,max_interval_after_LT0,tmax.1,max_metric,max_interval_before_lt100,measure,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,breadth,tmin,min_metric,min_interval_after_lt0,tmin.1,min_metric.1,min_interval_before_lt100,min_metric_com,measure.1,min_pretreatment,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,NOTES,Genus_book,Species_book,in.book,photo.order,name_notes
plants,algae,Porphyra umbilicalis,,Porphyra umbilicalis,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",http://img.algaebase.org/pdf/5964B937076052D2ADqJP323D2D5/33969.pdf,"Widespread in the Atlantic Ocean (including Canary Islands); Mediterranean; Indian Ocean (Sri Lanka); Caribbean; N Pacific (Russia, Alaska to British Columbia); Antarctica and Sub-Antarctica; Australia. But extra-european records are suspect. ",Spotty distribution outside of Europe,partial.range,use euro range,NA,NA,,NA,-45,90,NA,NA,KF-2016,NA,Intertidal,NA,24.3,LT0,2,28,LT100,3,NA,NA,NA,54.19261,7.86732,0,L始ing_1984,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,,,,106.3,31,
plants,algae,Palmaria decipiens,,Palmaria decipiens,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,Antarctica and the Southern Antarctic Islands,,excl.points,,NA,NA,1055956296,procOcc$lon>(0) & procOcc$lat<(-70),NA,NA,NA,NA,KF-2016,NA,Intertidal,NA,16.5,LT0,1,NA,,NA,NA,NA,NA,-61.934135,-57.901964,0,Wiencke_and_torn_Dieck_1989,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,,,,108.1,32,
plants,algae,Ahnfeltia plicata,,Ahnfeltia plicata,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",http://www.marlin.ac.uk/biotic/about.php,N and NE Atlantic (Greenland to Azores); SW Atlantic (Uruguay); NE Pacific (Alaska to Mexico) NW Pacific (Russia); SE-Pacific (Chile); Indian Ocean; Antarctica and the subantarctic islands,Spotty distribution outside of Europe,partial.range,use euro range,NA,NA,,NA,-45,90,40,NA,KF-2016,NA,Intertidal,NA,28,LT0,2,30,LT100,2,NA,NA,NA,54.19261,7.86732,0,L始ing_1984,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,,,,109.1,33,
plants,algae,Gracilaria bursa-pastoris,,Gracilaria bursa-pastoris,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",http://download.springer.com/static/pdf/759/art%253A10.1007%252FBF02027684.pdf?originUrl=http%3A%2F%2Fhmr.biomedcentral.com%2Farticle%2F10.1007%2FBF02027684&token2=exp=1477073898~acl=%2Fstatic%2Fpdf%2F759%2Fart%25253A10.1007%25252FBF02027684.pdf*~hmac=80c7029933189a46e277a3fe683c33980249a0eb75bfb2a48bcd82774aaa6b78,"NE and E Altantic (Ireland to Morocco, W Africa, Cap Verde Is); Mediterranean; Caribbean; W and NW Pacific (Japan, China, Philippines, Singapore); Pacific Is (Hawaii); Indian Ocean (India, Kenya, Sri Lanka).",,partial.range,use euro range (including italy),NA,NA,,NA,-45,90,NA,NA,KF-2016,NA,Intertidal,NA,30,LT0,1,32,LT100,1,NA,NA,NA,50.732554,-1.402288,0,McLachlan_and_Bird_1984,1,,4,LT0,1,3,LT100,NA,,,NA,50.732554,-1.402288,0,McLachlan_and_Bird_1984,1,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,,,120.2,34,
plants,algae,Bonnemaisonia asparagoides,,Bonnemaisonia asparagoides,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,NE Atlantic (Scandivaia to S. Spain/Portugal); Mediterranean,point in Australia,excl.points,,NA,NA,,NA,NA,90,NA,NA,KF-2016,NA,Marine,NA,22,LT0,2,24,LT100,2,NA,NA,NA,60.568093,4.95596,0,Rueness_&_Asen_1982_otherwise_in_biebel,1,,8.5,LT0,3.5,5,LT100,3.5,,,NA,60.568093,4.95596,0,Rueness_&_Asen_1982_otherwise_in_biebel,1,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,,,,122.1,35,
plants,algae,Bonnemaisonia hamifera,,Bonnemaisonia hamifera,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",http://www.europe-aliens.org/speciesFactsheet.do?speciesId=50487#,"NE Atlantic (Scandinavia to Carany Is, and Azores); SE Atlantic (South Africa); Mediterranean; NW Pacific (Russia, Japan); NE Pacific (California, Mexico).",Spotty distribution outside of Europe,partial.range,use euro range,NA,NA,,NA,-45,90,NA,NA,KF-2016,NA,Marine,NA,23,LT0,2,25,LT100,2,NA,NA,NA,54.19261,7.86732,0,L始ing_unpublished_results_in_L始ing_1981,1,,-2,LT0,6,-8,LT100,6,,,NA,48.7262,-3.985322,0,Biebl_1958,1,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,luning gametophytes,,,122.2,36,
plants,algae,Endocladia muricata,,Endocladia muricata,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Pacific (Aleutian Is, Alaska to Mexico); NW Pacific (Russia)",,partial.range,use NE pacific range,NA,NA,919112253,procOcc$lat<(52) & procOcc$lon<(-176.75),NA,90,NA,NA,KF-2016,NA,Intertidal,NA,28,LT0,2,30,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gigartinales,Endocladiaceae,,,,146.1,37,
plants,algae,Dumontia contorta,,Dumontia contorta,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Atlantic (Spitsbergen to Portugal, North Sea): NW Atlantic; NW Pacific (Russia, Japan); NE Pacific (Alaska).","Pacific part of range unsampled, but Atlantic part of range matches description.",partial.range,"use euro range, no points to exclude",NA,NA,,NA,-45,NA,0,NA,KF-2016,NA,Intertidal,NA,24,LT0,2,26,LT100,2,NA,NA,NA,48.726199,-3.985325,0,Rietema_&_Breeman_1982,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,simular range given by Luning 1984,,,148.1,38,
plants,algae,Gigartina teedii,,Gigartina teedii,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Atlantic (Ireland to Canary Is); E and SE Atlantic (Cap Verde Is. to South Africa); W and SE Atlantic (Venezuela, Brazil, Uruguay); Mediterranean; Indian Ocean (Seychelles) W Pacific (Japan). Reports outside Atlantic and Mediterranean require investigation.",many parts of range missing,remove,too spottlily sampled,NA,NA,,NA,NA,NA,NA,NA,KF-2016,NA,Marine,NA,31,LT0,1,32,LT100,1,NA,15,NA,48.333889,-4.479722,0,Guiry_et_al_1987,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,,Chondracanthus,teedei,154.6,39,new name is Chondracanthus teedei
plants,algae,Chondrus crispus,,Chondrus crispus,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,NE Atlantic (Norway to Spain); Azores; NW Atlantic. Other records require investigation,Pacific and Indian ocean points outside of described range; exclude.,partial.range,use euro range,NA,NA,,NA,-45,45,NA,NA,KF-2016,NA,Intertidal,NA,27.3,LT0,2,30,LT100,NA,NA,NA,NA,54.19261,7.86732,0,L始ing_1984,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,,,,155.1,"40, 41",
plants,algae,Callophyllis lacianata,,Callophyllis lacianata,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",http://www.marlin.ac.uk/species/detail/1877,"NE Atlantic (Faroe Is. To Morocco); W Mediterranean, and perhaps W Atlantic (Brazil)",E Atlantic part of range matches description,remove,no processed occurances,NA,NA,1235996139;354511234;1269272994;235578651;1055380670,procOcc$lon>(0) & procOcc$lat>(75); procOcc$lon>(0) & procOcc$lat<(50); procOcc$lon<(0) & procOcc$lat<(30); procOcc$lon<(-20) & procOcc$lat<(40) & procOcc$lon>(-45),-45,NA,NA,NA,KF-2016,NA,Intertidal,NA,24,LT0,1,25,LT100,NA,NA,15,NA,48.730579,-3.979547,0,Yarish_et_al_1987,1,,5,LT0,5,0,LT100,5,,,NA,48.730579,-3.979547,0,Yarish_et_al_1984,1,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,,,,161.6,"42, 43",
plants,algae,Plocamium cartilagineum,,Plocamium cartilagineum,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Atlantic (Scandinavia to Senegal, North Sea), SE Atlantic (Namibia); Mediterranean; Indian Ocean (Pakist, Mauritius); NW Pacific (Japan); Pacific Is; NE Pacific (Alaska to California); SE Pacific (Chile); Australia, New Zealand; Antarctic","remove points in Mexico, Indian Ocean, Brazil, and Japan.",partial.range,exlcude non-sampled part of range in Japan and Indian Ocean,NA,NA,380202022;380201839;380201805;888336028;1087390145;1056241182;90248328;370410766,NA,NA,NA,NA,NA,JS,NA,Marine,NA,23,LT0,2,25,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,1.5,LT0,1.5,0,LT100,NA,,,NA,48.536683,NA,NA,L始ing_&_Freshwater_1988,1,Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,,,,186.1,44,
plants,algae,Lomentaria articulata,,Lomentaria articulata,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE and E Atlantic (Scandinavia to Cameroon), Mediterranean, Black Sea, Indian Ocean (India), W Pacific (Philippines)",southern parts of E Atlantic range missing - not in Africa,remove,southern parts of E Atlantic range missing in Africa,NA,NA,,NA,NA,NA,NA,NA,,NA,Intertidal,NA,27,LT0,1,28,LT100,1,NA,15,NA,48.730579,-3.979547,0,Yarish_et_al_1987,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,,,,191.1,45,
plants,algae,Halurus equisetifolius,,Halurus equisetifolius,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Warmer NE Atlandtic (Ireland to Canary Is), W Mediterranean","one point in Italy, another in Japan, should exclude",excl.points,,NA,NA,,NA,NA,NA,NA,NA,,NA,Marine,NA,26,LT0,1,27,LT100,1,NA,15,NA,48.730579,-3.979547,0,Yarish_et_al_1987,1,,10,LT0,5,5,LT100,5,,,15,48.730579,-3.979547,0,Yarish_et_al_1984,1,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,,,206.1,46,
plants,algae,Plumaria plumosa,,Plumaria plumosa,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Atlantic (Scandinavia to Portugal, North Sea)",,remove,missing S RL,NA,NA,,NA,NA,NA,NA,NA,JS,NA,Intertidal,NA,23,LT0,2,25,LT100,2,NA,NA,NA,54.19261,7.86732,0,L始ing_1984,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,,,210.1,47,
plants,algae,Dictyurus occidentalis,,Dictyurus occidentalis,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,Carribean,,remove,occurance records too sparse,NA,NA,,NA,NA,NA,NA,NA,JS,NA,Marine,NA,32,LT0,3,35,LT100,3,NA,NA,NA,17.953043,-67.154763,0,Biebl_1962,1,,16,LT0,2,14,LT100,2,,,NA,17.953043,-67.154763,0,Biebl_1963,1,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,,,,216.1,48,
plants,algae,Grinnellia americana,,Grinnellia americana,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"most points in NE US, does not match range description",remove,occurences do not match range description,,NA,NA,,NA,NA,NA,NA,NA,,NA,Marine,NA,31,LT0,1,32,LT100,1,NA,20,NA,41.293361,-72.086435,0,Yarish_et_al_1987,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,,,,227.1,49,
plants,algae,Hypoglossum hypoglossoides,,Hypoglossum hypoglossoides,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NO and O Atlantic (Scandinavia to Portugal, Azores, Canary Is, Cap Verdy Is), NW and W Atlantic (North Carolina to West Indies); Mediterranean Sea",,partial.range,Use E. Atlantic,NA,NA,,NA,-32,NA,NA,NA,JS,NA,Intertidal,NA,25,LT0,1,26,LT100,1,NA,15,NA,48.730579,-3.979547,0,Yarish_et_al_1987,1,,5,LT0,5,0,LT100,5,,,15,48.730579,-3.979547,0,Yarish_et_al_1984,1,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,,,,231.1,50,
plants,algae,Phycodrys rubens,,Phycodrys rubens,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"N Atlantic (Greenland, Iceland, Faroe Is) NE Atlantic (Scandinavia to Atlantic Spain, North Sea, Baltic), NW Atlantic (Arctic Canada to New Jersey), NW Pacific (Japan)","missing southern part of described range in E Atlantic, northern part of range in W. Atlantic. Need to remove",remove,missing southern part of range,NA,NA,,NA,NA,NA,NA,NA,,NA,Marine,NA,18,LT0,2,20,LT100,3,NA,NA,NA,54.19261,7.86732,0,L始ing_1984,1,,-2,LT0,6,-8,LT100,6,,,NA,48.7262,-3.985322,0,Biebl_1958,1,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,,,,240.1,51,
plants,algae,Polyneura latissima,,Polyneura latissima,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Pacific (Alaska to N Mexico), NW Pacific (Russia)",,remove,missing S RL,NA,NA,,NA,NA,NA,NA,NA,JS,NA,Intertidal,NA,23,LT0,2,25,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,1.5,LT0,1.5,0,LT100,NA,,,NA,48.536683,NA,NA,L始ing_&_Freshwater_1988,1,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,,,,242.1,52,
plants,algae,Laurencia intricata,,Laurencia intricata,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,Florida to Brazil,,partial.range,Use W. Atlantic,NA,NA,,NA,NA,-32,NA,NA,JS,NA,Marine,NA,35,LT0,5,40,LT100,5,NA,NA,NA,17.953043,-67.154763,0,Biebl_1962,1,,5,LT0,2,3,LT100,2,,,NA,17.953043,-67.154763,0,Biebl_1963,1,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,,,254.3,53,
plants,algae,Osmundea spectabilis,,Osmundea spectabilis,no occurances,,no map,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,Alaska to N Mexico,One point in Australia,excl.points,,NA,NA,,NA,NA,100,NA,NA,JS,NA,Intertidal,NA,23,LT0,2,25,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,1.5,LT0,1.5,0,LT100,NA,,,NA,48.536683,NA,NA,L始ing_&_Freshwater_1988,1,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,low littoral to sublittoral,,,261.2,54,
plants,algae,Polysiphonia urceolata,,Polysiphonia urceolata,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Arctic and Antarctic Atlantic; NE Atlantic (Faroe to the Canary Is, North Sea, Baltic Sea); NW Atlantic (Labrador to North Carolina), Mediterranean, NW Pacific (Russa, China), NE Pacific (Alaska to Washington), SE Pacific (Chile)","W Atlantic part of range, where sampled, is missing northern mid section of range",remove,"sampled in greenland, much of nearby range is missing",NA,NA,,NA,NA,NA,NA,NA,,NA,Intertidal,NA,25.7,LT0,1,NA,,NA,NA,NA,NA,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,,,262.6,"55, 56",
plants,algae,Sphondylothamnion multifidum,,Sphondylothamnion multifidum,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Ireland and Britain to Canary Islands, Mediterranean",,remove,occurance records too sparse,NA,NA,,NA,NA,NA,NA,NA,JS,NA,Marine,NA,27,LT0,3,35,LT100,5,NA,NA,NA,48.7262,-3.985322,0,Biebl_1958,1,,7,LT0,2,3,LT100,2,,,NA,48.7262,-3.985322,0,Biebl_1958,1,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,partial death at 5,,,213 (a),58,
plants,algae,Acanthophora spicifera,,Acanthophora spicifera,,,NA,Smithosonian Marine Station,http://www.sms.si.edu/irlspec/Acanth_spicif.htm,"Though a native to Florida and the Caribbean, Acanthophora spicifera is an invader to Hawaiian waters, probably as the result of its colonizing boat hulls and being transported throughout the Hawaiian Islands during the late 1940's and early 1950's (Russell 1992).","Invasive in Hawaii, occurances in West Pacific, Indian Ocean, and African continent likely invaders or errors. Keep W.Atlantic range",excl.points,NA,NA,NA,NA,NA,-120,0,NA,NA,JS - 2016,NA,Intertidal,NA,35,LT0,5,40,LT100,5,NA,NA,NA,17.953043,-67.154763,0,Biebl_1962,1,21,14,LT0,3,11,LT100,3,,,NA,17.953043,-67.154763,0,Biebl_1963,1,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,NA,NA,NA,NA,
plants,algae,Acrochaetium secundatum,,Acrochaetium secundatum,,,NA,,,,,remove,"Occurance records do not include Greenland, where thermal tolerance was measured.",NA,NA,NA,NA,NA,NA,NA,NA,JS - 2016,NA,Marine,NA,17,LT0,1,NA,,NA,NA,NA,NA,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,,NA,NA,NA,NA,
plants,algae,Acrosiphonia arcta,,Acrosiphonia arcta,,,,Seaweeds of Alaska,http://www.seaweedsofalaska.com/species.asp?SeaweedID=211,"Arctic Ocean, Bering Sea and Aleutian Is., Alaska, to Oregon; Russia.",sections of described range missing,remove,sections of described range missing,,,,,,,,,JS fixed from screw up,NA,Intertidal,NA,22,LT0,1,23,LT100,1,NA,NA,NA,66.817989,-53.495628,0,Bischoff_&_Wiencke_1993,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Chlorophyta,Ulvophyceae,Acrosiphoniales,Acrosiphoniales,,,,,,
plants,algae,Acrosiphonia sonderi,,Acrosiphonia sonderi,,,,,,,,remove,point of collection extends range limit,,,,,,,,,JS,NA,Marine,NA,23,LT0,1,NA,,NA,NA,NA,NA,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Chlorophyta,Ulvophyceae,Acrosiphoniales,Acrosiphoniales,,,,,,
plants,algae,Acrothrix gracilis,,Acrothrix gracilis,,,NA,,,,,remove,Occurance records do not include Nefoundland where thermal tolerance was measured.,NA,NA,NA,NA,NA,NA,NA,NA,JS - 2016,NA,Marine,NA,15,LT0,5,20,LT100,5,NA,NA,NA,47.53333,-52.616667,0,Forward_&_South_1985,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,NA,NA,NA,NA,
plants,algae,Agardhiella subulata,,Agardhiella subulata,,,,algaebase,http://www.algaebase.org/search/species/detail/?species_id=436,"US East coast downt to Brazil, Africa, Europe, Asia","some points on Pacific, on land, in Australia, Old world part of range poorly represented",partial.range,,,,,,-100,-30,,,JS - 2016,NA,Marine,NA,33,LT0,1,34,LT100,1,NA,20,NA,41.307318,-72.085274,0,Yarish_et_al_1987,1,19,14,LT0,3,11,LT100,3,,,NA,17.953043,-67.154763,0,Biebl_1963,1,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,gametophytes,,,,,
plants,algae,Agarum fimbriatum,,Agarum fimbriatum,,,NA,Seaweeds of Alaska,http://www.seaweedsofalaska.com/species.asp?SeaweedID=230,"Southeast Alaska to Baja California, Mexico.",southern parts of range missing,remove,southern parts of range missing,NA,NA,NA,NA,NA,NA,NA,NA,JS - 2016,NA,Marine,NA,20,LT0,3,23,LT100,3,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Costariaceae,,NA,NA,NA,NA,
plants,algae,Aglaothamnion hookeri,,Aglaothamnion hookeri,,,check in genus name changed from callothamnion,algaebase,http://www.algaebase.org/search/species/detail/?species_id=455,,points from African continent missing,remove,southern parts of range missing,NA,NA,NA,NA,NA,NA,NA,NA,JS fixed from screw up,NA,Intertidal,NA,30,LT0,5,35,LT100,5,NA,NA,NA,48.7262,-3.985322,0,Biebl_1958,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,NA,NA,NA,NA,
plants,algae,Ahnfeltiopsis linearis,,Ahnfeltiopsis linearis,,,NA,algaebase,http://www.algaebase.org/search/species/detail/?species_id=4425,British Columbia to California,one point in middle of BC to remove,excl.points,NA,NA,NA,NA,NA,NA,-120,NA,NA,JS - 2016,NA,Intertidal,NA,25,LT0,3,28,LT100,3,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,,NA,NA,NA,NA,
plants,algae,Alaria esculenta,,Alaria esculenta,,,NA,algaebase,http://www.algaebase.org/search/species/detail/?species_id=82,"Massachusetts to Greenland, Spitsbergen to France, also in Alaska",some pionts on land; Alaska part of range not well covered nor described,partial.range,NA,NA,NA,NA,NA,-90,32,0,NA,JS - 2016,NA,Marine,NA,17,LT0,4,21,LT100,4,NA,NA,NA,78.92422,11.975902,0,Fredersdorf_et_al_2009,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Alariaceae,"also has photosynthesis maximums,",NA,NA,NA,NA,
plants,algae,Alaria marginata,,Alaria marginata,,,,algaebase,,Alaska to California,One northern point extends northern range,excl.points,,,,,,,,,65,JS,NA,Intertidal,NA,18,LT0,2,20,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Alariaceae,,,,,,
plants,algae,Analipus japonicus,,Analipus japonicus,,,NA,Seaweeds of Alaska,http://www.seaweedsofalaska.com/species.asp?SeaweedID=21,"Aleutian Is., Alaska, to Point Conception, California; Korea; Japan; Russia.","some points on land, W. Pacific part of range not well covered.",partial.range,NA,NA,NA,NA,NA,NA,-121,NA,NA,JS - 2016,NA,Intertidal,NA,25,LT0,3,28,LT100,3,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,#VALUE!,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Heterochordariaceae,Heterochordariaceae,,NA,NA,NA,NA,
plants,algae,Antithamnion furcellatum,,Antithamnion furcellatum,no occurances,,no map,NA,NA,NA,NA,remove,no processed occurance file,NA,NA,NA,NA,NA,NA,NA,NA,JS - 2016,NA,Marine,NA,30,LT0,5,35,LT100,5,NA,NA,NA,48.7262,-3.985322,0,Biebl_1958,1,27,3,LT0,5,-2,LT100,5,,,NA,48.7262,-3.985322,0,Biebl_1958,1,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,NA,NA,NA,NA,
plants,algae,Antithamnion sarniense_,,Antithamnion sarniense,no occurances,,NA,NA,NA,NA,NA,remove,range poorly represented where thermal tolerance was sampled,NA,NA,NA,NA,NA,NA,NA,NA,JS - 2016,NA,Marine,NA,27,LT0,3,30,LT100,3,NA,NA,NA,48.7262,-3.985322,0,Biebl_1958,1,24,3,LT0,5,-2,LT100,5,,,NA,48.7262,-3.985322,0,Biebl_1958,1,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,NA,NA,NA,NA,
plants,algae,Apophloea lyallii,,Apophloea lyallii,no occurances,,no map,NA,NA,NA,NA,remove,no processed occurance file,NA,NA,NA,NA,NA,NA,NA,NA,JS,NA,Intertidal,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,#VALUE!,-21.9,LT50,1,NA,,NA,lethal,lethal,NA,-45.95,170.333333,0,frazer_et_al_1988,1,Rhodophyta,Florideophyceae,Hildenbrandiales,Hildenbrandiaceae,,NA,NA,NA,NA,
