"range","equ_of","pol_of","equ_op","pol_op","weighted_equ_of","weighted_pol_of","weighted_equ_op","weighted_pol_op","species","source"
"Liolaemus.canqueli_IUCN",0,6,947,0,0,174,41194.5,0,"Liolaemus canqueli","IUCN"
"Liolaemus.capillitas_IUCN",0,3,890,40,0,36,23585,140,"Liolaemus capillitas","IUCN"
"Liolaemus.chacoensis_IUCN",0,51,650,0,0,1122,17225,0,"Liolaemus chacoensis","IUCN"
"Liolaemus.cuyanus_IUCN",0,17,790,0,0,425,25280,0,"Liolaemus cuyanus","IUCN"
"Liolaemus.darwinii_IUCN",0,73,849,0,0,2190,30564,0,"Liolaemus darwinii","IUCN"
"Liolaemus.darwinii_GBIF",0,78,849,0,0,2184,28441.5,0,"Liolaemus darwinii","GBIF"
"Liolaemus.dorbignyi_IUCN",0,1,883,19,0,13,23841,19,"Liolaemus dorbignyi","IUCN"
"Liolaemus.elongatus_IUCN",0,28,928,0,0,826,38048,0,"Liolaemus elongatus","IUCN"
"Liolaemus.elongatus_GBIF",0,110,928,0,0,3465,35264,0,"Liolaemus elongatus","GBIF"
"Liolaemus.fitzingerii_IUCN",0,31,907,0,0,1069.5,42175.5,0,"Liolaemus fitzingerii","IUCN"
"Liolaemus.irregularis_IUCN",0,2,843,105,0,18,19810.5,682.5,"Liolaemus irregularis","IUCN"
"Liolaemus.kingii_IUCN",0,39,946,0,0,1365,43516,0,"Liolaemus kingii","IUCN"
"Liolaemus.kingii_GBIF",0,67,946,0,0,2412,43516,0,"Liolaemus kingii","GBIF"
"Liolaemus.koslowskyi_IUCN",0,6,738,0,0,105,20664,0,"Liolaemus koslowskyi","IUCN"
"Liolaemus.kriegi_IUCN",0,13,930,0,0,357.5,37200,0,"Liolaemus kriegi","IUCN"
"Liolaemus.kriegi_GBIF",0,11,930,0,0,291.5,35805,0,"Liolaemus kriegi","GBIF"
"Liolaemus.laurenti_IUCN",0,6,780,0,0,120,23400,0,"Liolaemus laurenti","IUCN"
"Liolaemus.laurenti_GBIF",0,35,780,0,0,770,23400,0,"Liolaemus laurenti","GBIF"
"Liolaemus.melanops_IUCN",0,11,994,0,0,302.5,41748,0,"Liolaemus melanops","IUCN"
"Liolaemus.multicolor_IUCN",0,6,813,100,0,57,18292.5,650,"Liolaemus multicolor","IUCN"
"Liolaemus.multimaculatus_IUCN",0,9,885,0,0,243,34072.5,0,"Liolaemus multimaculatus","IUCN"
"Liolaemus.olongasta_IUCN",0,8,797,0,0,156,24308.5,0,"Liolaemus olongasta","IUCN"
"Liolaemus.petrophilus_IUCN",0,20,935,0,0,600,39737.5,0,"Liolaemus petrophilus","IUCN"
"Liolaemus.poecilochromus_IUCN",0,4,853,19,0,50,21751.5,28.5,"Liolaemus poecilochromus","IUCN"
"Liolaemus.pseudoanomalus_IUCN",0,6,780,0,0,102,21840,0,"Liolaemus pseudoanomalus","IUCN"
"Liolaemus.quilmes_IUCN",0,3,865,35,0,36,22057.5,87.5,"Liolaemus quilmes","IUCN"
