"longitude","latitude","seasonal_high_temp"
0.5,89.5,-1.79923072901483
0.5,88.5,-1.79923072901483
0.5,87.5,-1.71974355130433
0.5,86.5,-1.71666662829618
0.5,85.5,-1.70666662851969
0.5,84.5,-1.68102560345179
0.5,83.5,-1.5561538113711
0.5,82.5,-1.27999997138977
0.5,81.5,-0.686410241067792
0.5,80.5,0.274871788727931
0.5,79.5,1.52666663254301
0.5,78.5,2.7525640410395
0.5,77.5,3.83666658091048
0.5,76.5,4.55358964180908
0.5,75.5,4.89205117270541
0.5,74.5,5.54256397867814
0.5,73.5,6.47076908613627
0.5,72.5,7.47999983280897
0.5,71.5,8.3176921217774
0.5,70.5,9.18410235882187
0.5,69.5,9.93666644456486
0.5,68.5,10.5179484828542
0.5,67.5,10.9294869351941
0.5,66.5,11.3264100032453
0.5,65.5,11.6697433289045
0.5,64.5,11.9541022969075
0.5,63.5,12.2320510086436
0.5,62.5,12.5687176677852
0.5,61.5,12.9656407358364
0.5,60.5,13.386922777702
0.5,59.5,13.7228202060916
0.5,58.5,14.1333330174287
0.5,57.5,14.5882048021333
0.5,56.5,15.0017945364786
0.5,55.5,15.2097432497793
0.5,54.5,15.5428201654114
0.5,53.5,15.8474355432181
0.5,51.5,17.2830765367701
0.5,50.5,17.4530765329703
0.5,49.5,17.544358582212
0.5,40.5,26.4369224860118
0.5,39.5,26.3497430007809
0.5,38.5,26.0602558277643
0.5,37.5,25.5815378897465
0.5,36.5,25.1892302062076
0.5,5.5,28.9456403786555
0.5,4.5,29.1894865270513
0.5,3.5,29.4864095973376
0.5,2.5,29.6276916454618
0.5,1.5,29.5515378010101
0.5,0.5,29.3456403697148
0.5,-0.5,29.1266660156349
0.5,-1.5,28.9694865319687
0.5,-2.5,28.8835890979912
0.5,-3.5,28.8361532016156
0.5,-4.5,28.7399993576109
0.5,-5.5,28.6153839757809
0.5,-6.5,28.4253839800278
0.5,-7.5,28.1584609090709
0.5,-8.5,27.8117942501528
0.5,-9.5,27.3941019517967
0.5,-10.5,26.9135891420241
0.5,-11.5,26.4030763329222
0.5,-12.5,25.9020507030953
0.5,-13.5,25.4558968669138
0.5,-14.5,25.0838455931785
0.5,-15.5,24.7853840613881
0.5,-16.5,24.521025092938
0.5,-17.5,24.2892302263242
0.5,-18.5,24.0799994617701
0.5,-19.5,23.9007686965454
0.5,-20.5,23.7282045978384
0.5,-21.5,23.6038456262591
0.5,-22.5,23.519230243535
0.5,-23.5,23.4610251166309
0.5,-24.5,23.421794348277
0.5,-25.5,23.3894866566914
0.5,-26.5,23.3384610168063
0.5,-27.5,23.2256405065075
0.5,-28.5,23.0182046137081
0.5,-29.5,22.80743538765
0.5,-30.5,22.5387174449383
0.5,-31.5,22.1735892479714
0.5,-32.5,21.7107687454957
0.5,-33.5,21.1982046543883
0.5,-34.5,20.5874354372708
0.5,-35.5,19.8517944280727
0.5,-36.5,18.9346149613938
0.5,-37.5,17.8256406272069
0.5,-38.5,16.5556406555936
0.5,-39.5,15.2589740179097
0.5,-40.5,14.1269227611617
0.5,-41.5,13.0225638114871
0.5,-42.5,11.9323074255998
0.5,-43.5,10.8343587321922
0.5,-44.5,9.81974337025522
0.5,-45.5,8.70538442080411
0.5,-46.5,7.69769213563548
0.5,-47.5,6.85410241090143
0.5,-48.5,6.07307678733308
0.5,-49.5,5.26743577969953
0.5,-50.5,4.3564101590369
0.5,-51.5,3.3617947966529
0.5,-52.5,2.39256404908613
0.5,-53.5,1.74076919186001
0.5,-54.5,1.34717945706768
0.5,-55.5,1.12102561596877
0.5,-56.5,0.97820510634054
0.5,-57.5,0.868717929300589
0.5,-58.5,0.803846135878792
0.5,-59.5,0.772564085295949
0.5,-60.5,0.787179469584655
0.5,-61.5,0.80179485387336
0.5,-62.5,0.81769228941546
0.5,-63.5,0.8392307504725
0.5,-64.5,0.893846133867135
0.5,-65.5,0.883589723839974
0.5,-66.5,0.752307675492305
0.5,-67.5,0.469743579244002
0.5,-68.5,0.0671794856779086
0.5,-69.5,-0.413076913843934
0.5,-70.5,-0.723333317165573
1.5,89.5,-1.79923072901483
1.5,88.5,-1.79923072901483
1.5,87.5,-1.71948714105365
1.5,86.5,-1.7151281667921
1.5,85.5,-1.70589739776766
1.5,84.5,-1.68051278295043
1.5,83.5,-1.56641022139826
1.5,82.5,-1.27641022788026
1.5,81.5,-0.62794870391297
1.5,80.5,0.438461528661159
1.5,79.5,1.85256406115607
1.5,78.5,3.23692300457221
1.5,77.5,4.40333323491116
1.5,76.5,5.10102552700883
1.5,75.5,5.346153726658
1.5,74.5,5.89564089386318
1.5,73.5,6.73435882383432
1.5,72.5,7.66307675179381
1.5,71.5,8.41282032477932
1.5,70.5,9.23256389620021
1.5,69.5,9.97641003342011
1.5,68.5,10.5764100200091
1.5,67.5,11.0266664202015
1.5,66.5,11.4876920509224
1.5,65.5,11.887435631731
1.5,64.5,12.2199997268617
1.5,63.5,12.5261535661725
1.5,62.5,12.8987176604091
1.5,61.5,13.3328202148088
1.5,60.5,13.7825637944998
1.5,59.5,14.1305125046712
1.5,58.5,14.5256407009676
1.5,57.5,14.9494868453401
1.5,56.5,15.3433329903831
1.5,55.5,15.5574355497001
1.5,54.5,15.9510252844924
1.5,53.5,16.4228201457419
1.5,52.5,17.0548714136657
1.5,51.5,17.4507688407141
1.5,50.5,17.6371790929578
1.5,40.5,26.2461532595066
1.5,39.5,26.3112814631791
1.5,38.5,26.0489737767344
1.5,37.5,25.5653840439537
1.5,36.5,25.1574353351234
1.5,5.5,29.0933326830467
