"longitude","latitude","seasonal_high_temp"
-178.5,-27.5,-Inf
-178.5,-26.5,-Inf
-178.5,-25.5,-Inf
-178.5,-24.5,-Inf
-178.5,-23.5,-Inf
-178.5,-22.5,-Inf
-178.5,-21.5,-Inf
-178.5,-20.5,-Inf
-178.5,-19.5,-Inf
-178.5,-18.5,-Inf
-178.5,-17.5,-Inf
-178.5,-16.5,-Inf
-178.5,-15.5,-Inf
-178.5,-14.5,-Inf
-178.5,-13.5,-Inf
-178.5,-12.5,-Inf
-178.5,-11.5,-Inf
-178.5,-10.5,-Inf
-178.5,-9.5,-Inf
-178.5,-8.5,-Inf
-178.5,-7.5,-Inf
-178.5,-6.5,-Inf
-178.5,-5.5,-Inf
-178.5,-4.5,-Inf
-178.5,-3.5,-Inf
-178.5,-2.5,-Inf
-178.5,-1.5,-Inf
-178.5,-0.5,-Inf
-178.5,0.5,-Inf
-178.5,1.5,-Inf
-178.5,2.5,-Inf
-178.5,3.5,-Inf
-178.5,4.5,-Inf
-178.5,5.5,-Inf
-178.5,6.5,-Inf
-178.5,7.5,-Inf
-178.5,8.5,-Inf
-178.5,9.5,-Inf
-178.5,10.5,-Inf
-178.5,11.5,-Inf
-178.5,12.5,-Inf
-178.5,13.5,-Inf
-178.5,14.5,-Inf
-178.5,15.5,-Inf
-178.5,16.5,-Inf
-178.5,17.5,-Inf
-178.5,18.5,-Inf
-178.5,19.5,-Inf
-178.5,20.5,-Inf
-178.5,21.5,-Inf
-178.5,22.5,-Inf
-178.5,23.5,-Inf
-178.5,24.5,-Inf
-178.5,25.5,-Inf
-178.5,26.5,-Inf
-178.5,27.5,-Inf
-178.5,28.5,-Inf
-178.5,29.5,-Inf
-178.5,30.5,-Inf
-178.5,31.5,-Inf
-178.5,32.5,-Inf
-178.5,33.5,-Inf
-178.5,34.5,-Inf
-178.5,35.5,-Inf
-178.5,36.5,-Inf
-178.5,37.5,-Inf
-178.5,38.5,-Inf
-178.5,39.5,-Inf
-178.5,40.5,-Inf
-178.5,41.5,-Inf
-178.5,42.5,-Inf
-178.5,43.5,-Inf
-178.5,44.5,-Inf
-178.5,45.5,-Inf
-178.5,46.5,-Inf
-178.5,47.5,-Inf
-178.5,48.5,-Inf
-178.5,49.5,-Inf
-178.5,50.5,-Inf
-178.5,51.5,-Inf
-178.5,52.5,-Inf
-178.5,53.5,-Inf
-178.5,54.5,-Inf
-178.5,55.5,-Inf
-178.5,56.5,-Inf
-178.5,57.5,-Inf
-178.5,58.5,-Inf
-178.5,59.5,-Inf
-178.5,60.5,-Inf
-178.5,61.5,-Inf
-178.5,62.5,-Inf
-178.5,63.5,-Inf
-178.5,64.5,-Inf
-178.5,65.5,13.3653846827136
-178.5,66.5,15.9132825408131
-178.5,67.5,15.8253259423322
-178.5,68.5,12.082298369546
-178.5,69.5,-Inf
-178.5,70.5,-Inf
-178.5,71.5,7.00159546929811
-178.5,72.5,-Inf
-178.5,73.5,-Inf
-178.5,74.5,-Inf
-178.5,75.5,-Inf
-178.5,76.5,-Inf
-178.5,77.5,-Inf
-178.5,78.5,-Inf
-178.5,79.5,-Inf
-178.5,80.5,-Inf
-178.5,81.5,-Inf
-178.5,82.5,-Inf
-178.5,83.5,-Inf
-178.5,84.5,-Inf
-178.5,85.5,-Inf
-178.5,86.5,-Inf
-178.5,87.5,-Inf
-178.5,88.5,-Inf
-178.5,89.5,-Inf
-177.5,-89.5,-22.9052847625954
-177.5,-88.5,-24.9614110826027
-177.5,-87.5,-24.0762913594643
-177.5,-86.5,-21.9599417528581
-177.5,-85.5,-15.3039980865305
-177.5,-84.5,-5.6983553820079
-177.5,-83.5,-2.48832701373668
-177.5,-82.5,-3.52625460459718
-177.5,-81.5,-4.23798900633784
-177.5,-80.5,-4.50317770456452
-177.5,-79.5,-4.13467910891133
-177.5,-78.5,-2.93100972537483
-177.5,-77.5,-Inf
-177.5,-76.5,-Inf
-177.5,-75.5,-Inf
-177.5,-74.5,-Inf
-177.5,-73.5,-Inf
-177.5,-72.5,-Inf
-177.5,-71.5,-Inf
-177.5,-70.5,-Inf
-177.5,-69.5,-Inf
-177.5,-68.5,-Inf
-177.5,-67.5,-Inf
-177.5,-66.5,-Inf
-177.5,-65.5,-Inf
-177.5,-64.5,-Inf
-177.5,-63.5,-Inf
-177.5,-62.5,-Inf
-177.5,-61.5,-Inf
-177.5,-60.5,-Inf
-177.5,-59.5,-Inf
-177.5,-58.5,-Inf
-177.5,-57.5,-Inf
-177.5,-56.5,-Inf
-177.5,-55.5,-Inf
-177.5,-54.5,-Inf
-177.5,-53.5,-Inf
-177.5,-52.5,-Inf
-177.5,-51.5,-Inf
-177.5,-50.5,-Inf
-177.5,-49.5,-Inf
-177.5,-48.5,-Inf
-177.5,-47.5,-Inf
-177.5,-46.5,-Inf
-177.5,-45.5,-Inf
-177.5,-44.5,-Inf
-177.5,-43.5,-Inf
-177.5,-42.5,-Inf
-177.5,-41.5,-Inf
-177.5,-40.5,-Inf
-177.5,-39.5,-Inf
-177.5,-38.5,-Inf
-177.5,-37.5,-Inf
-177.5,-36.5,-Inf
-177.5,-35.5,-Inf
-177.5,-34.5,-Inf
-177.5,-33.5,-Inf
-177.5,-32.5,-Inf
-177.5,-31.5,-Inf
-177.5,-30.5,-Inf
-177.5,-29.5,-Inf
-177.5,-28.5,-Inf
-177.5,-27.5,-Inf
-177.5,-26.5,-Inf
-177.5,-25.5,-Inf
-177.5,-24.5,-Inf
-177.5,-23.5,-Inf
-177.5,-22.5,-Inf
-177.5,-21.5,-Inf
-177.5,-20.5,-Inf
-177.5,-19.5,-Inf
-177.5,-18.5,-Inf
-177.5,-17.5,-Inf
-177.5,-16.5,-Inf
-177.5,-15.5,-Inf
-177.5,-14.5,-Inf
-177.5,-13.5,-Inf
-177.5,-12.5,-Inf
-177.5,-11.5,-Inf
-177.5,-10.5,-Inf
-177.5,-9.5,-Inf
-177.5,-8.5,-Inf
-177.5,-7.5,-Inf
-177.5,-6.5,-Inf
-177.5,-5.5,-Inf
-177.5,-4.5,-Inf
-177.5,-3.5,-Inf
-177.5,-2.5,-Inf
-177.5,-1.5,-Inf
-177.5,-0.5,-Inf
-177.5,0.5,-Inf
-177.5,1.5,-Inf
-177.5,2.5,-Inf
-177.5,3.5,-Inf
