"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","low_at_min_elev"
-179.5,-89.5,-61.1785970683609,-59.319675632034,-61.1785970683609
-179.5,-88.5,-61.0979875721037,-59.3558064355515,-61.0979875721037
-179.5,-87.5,-58.4617086491414,-56.8092425728483,-58.4617086491414
-179.5,-86.5,-54.8094898454845,-53.2115327942784,-54.8094898454845
-179.5,-85.5,-50.6314273097153,-49.0429807106765,-50.6314273097153
-179.5,-84.5,-37.7185719884932,-36.0736642008381,-37.7185719884932
-179.5,-83.5,-34.2995442104925,-32.4623748522318,-34.2995442104925
-179.5,-82.5,-36.6368923512953,-34.5633649424118,-36.6368923512953
-179.5,-81.5,-38.156231676521,-35.8765447536749,-38.156231676521
-179.5,-80.5,-38.6358654442642,-36.2174245387316,-38.6358654442642
-179.5,-79.5,-37.6917780192835,-35.2271191480969,-37.6917780192835
-179.5,-78.5,-36.9533152966627,-34.3896365494068,-36.9533152966627
-179.5,65.5,-23.8809806421399,-13.202343725323,-23.8016503038307
-179.5,66.5,-28.7617385766336,-15.2698604151074,-27.8336343207232
-179.5,67.5,-32.0425470953541,-17.1535643852892,-31.1269672959669
-179.5,68.5,-32.872713459017,-18.3568520764599,-31.9860114641996
-179.5,70.5,-29.1027645299876,-19.3557951000563,-29.0600616606704
-179.5,71.5,-31.1200736652528,-19.6884934701558,-30.8247635528149
-178.5,-89.5,-61.1516194523445,-59.2928513866982,-61.1516194523445
-178.5,-88.5,-61.0555979937315,-59.3172031595438,-61.0555979937315
-178.5,-87.5,-58.3300055629441,-56.687084577818,-58.3300055629441
-178.5,-86.5,-54.6195345953107,-53.036702858507,-54.6195345953107
-178.5,-85.5,-49.1381001442139,-47.5750222582636,-49.1381001442139
-178.5,-84.5,-37.1070113229964,-35.4893789356574,-37.1070113229964
-178.5,-83.5,-34.2379235657331,-32.4135545478868,-34.2379235657331
-178.5,-82.5,-36.7365265770682,-34.6602478683061,-36.7365265770682
-178.5,-81.5,-38.2596242621275,-35.9713436044753,-38.2596242621275
