"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo"
0.5,89.5,-1.79923072901483,-1.79923072901483
0.5,88.5,-1.79923072901483,-1.79923072901483
0.5,87.5,-1.71974355130433,-1.71974355130433
0.5,86.5,-1.71666662829618,-1.71666662829618
0.5,85.5,-1.70666662851969,-1.70666662851969
0.5,84.5,-1.68102560345179,-1.68102560345179
0.5,83.5,-1.5561538113711,-1.5561538113711
0.5,82.5,-1.27999997138977,-1.27999997138977
0.5,81.5,-0.686410241067792,-0.686410241067792
0.5,80.5,0.274871788727931,0.274871788727931
0.5,79.5,1.52666663254301,1.52666663254301
0.5,78.5,2.7525640410395,2.7525640410395
0.5,77.5,3.83666658091048,3.83666658091048
0.5,76.5,4.55358964180908,4.55358964180908
0.5,75.5,4.89205117270541,4.89205117270541
0.5,74.5,5.54256397867814,5.54256397867814
0.5,73.5,6.47076908613627,6.47076908613627
0.5,72.5,7.47999983280897,7.47999983280897
0.5,71.5,8.3176921217774,8.3176921217774
0.5,70.5,9.18410235882187,9.18410235882187
0.5,69.5,9.93666644456486,9.93666644456486
0.5,68.5,10.5179484828542,10.5179484828542
0.5,67.5,10.9294869351941,10.9294869351941
0.5,66.5,11.3264100032453,11.3264100032453
0.5,65.5,11.6697433289045,11.6697433289045
0.5,64.5,11.9541022969075,11.9541022969075
0.5,63.5,12.2320510086436,12.2320510086436
0.5,62.5,12.5687176677852,12.5687176677852
0.5,61.5,12.9656407358364,12.9656407358364
0.5,60.5,13.386922777702,13.386922777702
0.5,59.5,13.7228202060916,13.7228202060916
0.5,58.5,14.1333330174287,14.1333330174287
0.5,57.5,14.5882048021333,14.5882048021333
0.5,56.5,15.0017945364786,15.0017945364786
0.5,55.5,15.2097432497793,15.2097432497793
0.5,54.5,15.5428201654114,15.5428201654114
0.5,53.5,15.8474355432181,15.8474355432181
0.5,51.5,17.2830765367701,17.2830765367701
0.5,50.5,17.4530765329703,17.4530765329703
0.5,49.5,17.544358582212,17.544358582212
0.5,40.5,26.4369224860118,26.4369224860118
0.5,39.5,26.3497430007809,26.3497430007809
0.5,38.5,26.0602558277643,26.0602558277643
0.5,37.5,25.5815378897465,25.5815378897465
0.5,36.5,25.1892302062076,25.1892302062076
0.5,5.5,28.9456403786555,28.9320506353695
0.5,4.5,29.1894865270513,29.1797429375255
0.5,3.5,29.4864095973376,29.4864095973376
0.5,2.5,29.6276916454618,29.6276916454618
0.5,1.5,29.5515378010101,29.5515378010101
0.5,0.5,29.3456403697148,29.3064096013609
0.5,-0.5,29.1266660156349,29.1266660156349
0.5,-1.5,28.9694865319687,28.9694865319687
0.5,-2.5,28.8835890979912,28.727178845077
0.5,-3.5,28.8361532016156,28.6833326922109
0.5,-4.5,28.7399993576109,28.5723070536668
0.5,-5.5,28.6153839757809,28.4387173130631
0.5,-6.5,28.4253839800278,28.243076291795
0.5,-7.5,28.1584609090709,27.9710250158245
0.5,-8.5,27.8117942501528,27.6253839979092
0.5,-9.5,27.3941019517967,27.2233327248444
0.5,-10.5,26.9135891420241,26.7497429918402
0.5,-11.5,26.4030763329222,26.2235891574468
0.5,-12.5,25.9020507030953,25.6933327590426
0.5,-13.5,25.4558968669138,25.1897430267089
0.5,-14.5,25.0838455931785,24.7638456003311
0.5,-15.5,24.7853840613881,24.4248712489334
0.5,-16.5,24.521025092938,24.1710251007611
0.5,-17.5,24.2892302263242,23.9320507471283
0.5,-18.5,24.0799994617701,23.7112815212936
0.5,-19.5,23.9007686965454,23.5069225515024
0.5,-20.5,23.7282045978384,23.3207687095094
0.5,-21.5,23.6038456262591,23.1448712775436
0.5,-22.5,23.519230243535,22.9787174351036
0.5,-23.5,23.4610251166309,22.8356405152247
0.5,-24.5,23.421794348277,22.7230764151766
0.5,-25.5,23.3894866566914,22.6082046228724
0.5,-26.5,23.3384610168063,22.4805123180342
0.5,-27.5,23.2256405065075,22.3215379626132
0.5,-28.5,23.0182046137081,22.3069225783245
0.5,-29.5,22.80743538765,22.0430764303758
0.5,-30.5,22.5387174449383,21.7343584885582
0.5,-31.5,22.1735892479714,21.3697431120926
0.5,-32.5,21.7107687454957,20.8971790200911
0.5,-33.5,21.1982046543883,20.4089739027982
0.5,-34.5,20.5874354372708,19.8512816075713
0.5,-35.5,19.8517944280727,19.1717944432719
0.5,-36.5,18.9346149613938,18.3387175388157
0.5,-37.5,17.8256406272069,17.2961534595547
0.5,-38.5,16.5556406555936,16.0838457943442
0.5,-39.5,15.2589740179097,14.8182047969924
0.5,-40.5,14.1269227611617,13.7205125138355
0.5,-41.5,13.0225638114871,12.6548715120134
0.5,-42.5,11.9323074255998,11.6448715345886
0.5,-43.5,10.8343587321922,10.4787177145004
0.5,-44.5,9.81974337025522,9.5423074790205
0.5,-45.5,8.70538442080411,8.47076904143278
0.5,-46.5,7.69769213563548,7.47282034578996
0.5,-47.5,6.85410241090143,6.59948703197715
0.5,-48.5,6.07307678733308,5.760769102006
0.5,-49.5,5.26743577969953,4.9705127094132
0.5,-50.5,4.3564101590369,4.09820503660311
0.5,-51.5,3.3617947966529,3.13025634028973
0.5,-52.5,2.39256404908613,2.16307687472839
0.5,-53.5,1.74076919186001,1.50871791499547
0.5,-54.5,1.34717945706768,1.09846151390901
0.5,-55.5,1.12102561596877,0.818205109916818
0.5,-56.5,0.97820510634054,0.623333319400748
0.5,-57.5,0.868717929300589,0.450769220693753
0.5,-58.5,0.803846135878792,0.333333325882753
0.5,-59.5,0.772564085295949,0.256923071180399
0.5,-60.5,0.787179469584655,0.0802564084625397
